,tweet,source,tweet_id,user_id,Impoliteness,Intolerance,uncivil_confidence,uncivil_binary_label,bin_confidence,impo_alon,into_alon,note_alon
10,Biden never wanted to unify the country. The Democrats want to keep the country divided while they slip more spending in and call it Building Back Better. So far I haven't seen better,active_learning,1.484E+18,1.48382E+18,0,0,0.666666667,0,0.666666667,,,
11,"@USER @USER Many people are doing different things concerning voting rights,FASTING,MARCHING ETC I AM SUGGESTING THAT BOYCOTTING BUSINESS THAT SUPPORTS SENATORS THAT VOTES AGAINST VOTING RIGHTS. WALMART STORES",twitter_features,1.48E+18,1.48312E+18,0,0,0.666666667,0,0.666666667,,,
12,"It would cool if @USER ran for president just to piss the lefties off, and we need many good presidents so the lefties will fall to their knees and pout",twitter_features,1.48609E+18,1.48416E+18,0,1,0.666666667,1,0.666666667,,,
13,@USER You're fear mongering the same way you accuse the Democrats. You're hell bent on spending taxpayer money on lawsuits that are unnecessary. You embarrass the state every time you get on social media. And you worship a man who needs to be in prison. Just stop.,active_learning,1.49226E+18,220808428,1,0,1,1,1,,,
14,@USER You fucking lying bastards! Lets hope that Putin Will bomb the USA with nucleair weapons. Biden is a war criminal!,alon_for_train,1.49552E+18,1.4842E+18,1,1,,1,1,,,
15,@USER This is why it's good when Democrats lie about their policy positions,active_learning,1.50E+18,1.3918E+18,0,0,0.666666667,0,0.666666667,,,
16,"@USER The number, 0.002% of vaccine injections have ended in a fatality due to an adverse bodily reaction. As a 2A supporter, I believe gun mfgs should be held accountable. W/ our rights & freedom comes responsibility. The laws or lack there of explained here: @LINK",random,1.49E+18,1.48439E+18,0,0,1,0,1,,,
17,#AMERICAN #SOLDIERS ARE THERE TO DEFEND THE #USA. NOT COMMUNISTS LIKE UKRAINE OR ANYONE ELSE. @LINK,active_learning,1.48929E+18,1.31213E+18,1,0,0.6,1,0.8,,,
18,"Moderation to UNITE US, KEEP US SAFE, Contribute to Economic Certainty, Create Equal outcomes of Opportunity while Protecting the Few and Avoiding Favoring one group of Americans over another. Let's get politics behind us and shine! 2/16 @LINK",random,1.49185E+18,798646050,0,0,1,0,1,,,
19,"Because ""deploy the military against it's own civilian population"" is the democratic thing to do, obviously. 20 bucks says this same person was terrified of Trump doing the same thing. @LINK",active_learning,1.48904E+18,1.43739E+18,0,1,0.666666667,1,0.666666667,,,
20,"@USER @USER This is how we know they are a sham organization. If they wanted to reduce abortions, address issues that have women choose abortion. By them just wanting to ban abortions, it shows it is about birthing and not about the child at the end.",random,1.48963E+18,1.36467E+18,0,0,1,0,1,,,
21,@USER The news is meant to attack people in positions of power not American citizens. CNN has Jeffrey toobin whacking it and is telling everybody that white people are the problem but you're worried about yourself. I see how self-centered you really are. u dont care about the people,perspective_features,1.49543E+18,1.46245E+18,1,0,0.666666667,1,0.666666667,,,
22,"@USER @USER Acting like North Korean's problems are akin those in the first world is disingenuous at best. These people are starving, forced into labor camps, and have generations of their families killed for dissent. They are worried about survival, not this stupidity",perspective_features,1.47114E+18,1.47031E+18,0,0,1,0,1,,,
23,@USER Sorry duning a pandemic every measure to keep people safe and alive must be taken. You do realize that the unfortunate people dying g are mostly Republicans. I guess you don't care about your own people,perspective_features,1.48E+18,1.48095E+18,0,0,1,0,1,,,
24,"@USER This is so true, and worthy of the American People,who certainly deserves everything possible to recover from the misinformation and dangerous behavior of Republican unhinged actions or better yet INACTIONS on Many Fronts,concerning the American People.",active_learning,1.49E+18,1.47552E+18,0,0,0.666666667,0,0.666666667,,,
25,"@USER Wonder what ""Just Us"" Robert's got for his part in the death of democracy?",twitter_features,1.48501E+18,1.48293E+18,0,0,1,0,1,,,
26,"@USER You are not fighting to protect democracy. You are fighting to get Democrats elected, plain n simple.",active_learning,1.47996E+18,1.30494E+18,0,0,0.75,0,0.75,,,
27,Israeli satellite images show rapid Russian military buildup in Crimea - The Times of Israel @LINK via @USER,high_pmi_accounts,1.4952E+18,13544232,0,0,1,0,1,,,
28,Your tax dollars are paying for this asswipe. And the school board is supporting it. @LINK,high_pmi_accounts,1.49268E+18,1.39211E+18,1,0,0.666666667,1,0.666666667,,,
29,This is awful and heartbreaking. The only people getting hurt by the power struggle is the innocent. Hispanics are being targeted because to democrats we are the most important vote. People are dying because politicians are going on international news outlets,active_learning,1.14723E+18,1.13196E+18,0,1,0.666666667,1,0.666666667,,,
30,"@USER @USER Of course we're happy you aren't dead. This isn't about who has suffered, it's about the lies we're told in the media all the time, but of course take it as a personal attack instead of looking at the bigger picture.",random,1.48235E+18,1.37133E+18,1,0,0.666666667,1,0.666666667,0,0,
31,@USER Obamacare forced doctors to become employees of Big Health instead of having private practices - otherwise the whole Plandemic to usher in World Marxism wouldn't have worked so well.,active_learning,1.48994E+18,1.45526E+18,0,1,0.666666667,1,0.666666667,,,
32,@USER @USER Wow you sure do have a lot of blind faith in the government. Good luck with that.,high_pmi_accounts,1.49507E+18,1.09825E+18,0,0,0.666666667,0,0.666666667,,,
33,"If you don't really get jokes about who the population of @USER is, this thread will help a LOT @LINK",alon_for_train,4.54753E+17,754282928,0,0,,0,1,,,
34,"@USER You let us down when you knew about the dangers of the pandemic, did nothing and allowed Americans to @LINK your watch.",perspective_features,1.33772E+18,243846085,0,0,0.666666667,0,0.666666667,,,
35,@USER @USER You are speaking of Joe Biden and Barrack Obama's ? We already know that. Nice fake meme. Try harder next time.,perspective_features,1.49123E+18,1.21398E+18,0,0,1,0,1,,,
36,ADVOCATES STRUGGLE TO OVERCOME NEW #VOTINGBARRIERS IN #TEXAS. Provisions in #SenateBill1 have spurred anxiety in civic engagement groups. @LINK,high_pmi_accounts,1.50E+18,1.02955E+18,0,0,1,0,1,,,
37,"Colin Powell told CNN that Republicans can not be trusted with telling the truth. ""C'mon guys, you can make it in private life."" Rest in peace, General. @LINK",random,1.45008E+18,1.2754E+18,0,0,0.666666667,0,0.666666667,,,
38,"Republican National Committee overwhelmingly votes to censure Cheney, Kinzinger for sitting on Jan. 6 cmte. Finally the Leaders of the Republicans party is standing up to what is correct. Censuring Republicans who cross the line again Americans RNC! @LINK",active_learning,1.48971E+18,1.40969E+18,0,0,1,0,1,,,
39,"Brown said: ""I'm certainly not ruling out doing another vote."" And he added: ""When Republicans don't show up, they talk about inflation all the time on the Senate floor, and then they don't show up. Even if they want to vote no, they don't show up ... it is pretty troubling.""",twitter_features,1.49369E+18,39155029,0,0,1,0,1,,,
40,for context when i came out to my parents as queer in 9th grade i almost got baker acted (institutionalized) and was almost functionally locked up. this is also part of why the #DontSayGay bill is harmful - it prevents key convos from happening that would secure queer kids safety,active_learning,1.49E+18,9.55231E+17,0,0,0.75,0,0.75,,,
41,Teachers Unions Urge Educators to Defy State Laws to Push Critical Race Theory @LINK,random,1.48989E+18,209561944,0,0,1,0,1,,,
42,"@USER @USER @USER No disputing that, but let people make their own decision because the vaccines may save the lives of thr people that take it, while killing other people. This ""myth"" you liberals created that wceryone must Vax to save others has no valid scientific basis whatsoever",alon_for_train,1.48804E+18,1.47862E+18,0,1,,1,1,,,
43,"Kavanaugh's concurrence is the quintessential R position: leave the door open to rule differently but for this election, when R's really need it, it stays in effect. Ridiculous! Supreme Court allows 1 state's election map over Black vote dilution claims @LINK",active_learning,1.49E+18,1.37772E+18,0,0,0.666666667,0,0.666666667,,,
44,"@USER Oh, your fighting words: takeover bill. Tongue-in-cheek is how you communicate, Sen.Daines...everything is a joke. Your above tweet is wrong; has a anti-democracy tone. But you know that. #DirtyDaines",high_pmi_accounts,1.48071E+18,1.18452E+18,1,0,0.666666667,1,1,,,
45,I hope all you folks out there in her districts wake up to the tyrannical shariah law that the Squad really want to have this country under. Please wake up @USER,active_learning,1.44E+18,1.33856E+18,0,1,0.666666667,1,0.666666667,,,
46,This is one of the more ugly things they've done for decades. @LINK,active_learning,1.46411E+18,1.33198E+18,0,0,0.6,0,0.6,,,
47,@USER lol it should be illegal for public servants to lie about our economic status jobs mean nothing if they are not with livable wages. Even white lies kill our people. NEO-LIBERALISM IS AUSTERITY FOR THE WORKING CLASS & BILLIONS FOR THE OLIGARCHS,twitter_features,1.49E+18,1.19182E+18,0,0,0.666666667,0,0.666666667,,,
48,Sinema and Manchun are both closeted Republicans working to put roadblocks on Pres. Biden promise to the people who carry him to the White House. That was their plans all along. @USER,active_learning,1.44E+18,68269530,0,0,0.666666667,0,0.666666667,,,
49,The Great Civil War was basically A Fight Between The Republican Party vs The Democratic Party! The Battles of Blood shed ended...But The Real Truth is that The Civil War of Ideologies never Ended! It persist to this Moment! We must decide Now to Save America! No less!,high_pmi_accounts,1.49157E+18,1.42927E+18,0,0,1,0,1,,,
50,Trump is now calling for criminal prosecution of all Democrats involved in manufacturing the Russia hoax. Congressman Jim Jordan (R-Ohio) said Trump is right on target calling for criminal prosecution of Democrats involved in its fabrication. @LINK,active_learning,1.49549E+18,1.46133E+18,0,0,0.75,0,0.75,,,
51,"@USER As much as I hate the Truedeaus, Arderns they do prosecute their case. They do fuck up their opponents & they are nasty. Can you say that about a single conservative in the west",active_learning,1.49468E+18,1.47111E+18,1,0,0.6,1,0.8,,,
52,@USER @USER @USER Like banning and cancelling? Forcing mandates? Which policy of Trump was fascist?,active_learning,1.49343E+18,1.40632E+18,1,0,0.666666667,1,0.666666667,,,
53,Biden has reduced the military and cabinet positions to utter incompetence. #fjb #letsgobrandon #brandon #joebiden #joebidensucks #biden #BIDENSAMERICA #bidensucks #BidenAdministration #BidenCrimeFamily #inflation #supplychain #democratsdestroyamerica #democratssuck @LINK,active_learning,1.46906E+18,1.31224E+18,1,1,0.666666667,1,0.666666667,,,
54,Republican Senators are openly assaulting Airline flight crews by supporting combative passengers. This amounts to support for American Terrorists.,alon_for_train,1.50E+18,1.4785E+18,0,1,,1,1,,,
55,@USER Rep. Hakeem Jefferies called the RNC The Republican National Cult .,active_learning,1.49E+18,4076324253,0,1,0.666666667,1,1,,,
56,"Tired of #fakenews? I'm USA's most #Progressive candidate-only 1 calling to breakup corporate media! SIGN my petition to get on the ballot, and run for governor of #arizona!--) @LINK #Women#politics #progressive #liberal #politics #NWPC #blm #youngDemocrats @LINK",active_learning,1.49E+18,1.47598E+18,0,0,0.666666667,0,0.666666667,,,
57,@USER @USER @USER @USER @USER Hey I'm on your side this administration is slowly killing our country,active_learning,1.47733E+18,1.47457E+18,1,0,1,1,1,,,
58,@USER I feel sorry for your idiot voters who believe this B/S you constitly put out to them. The president can't do anything about private corporations setting prices for their products. But those same corporations give your GOP millions every year. Only your voters are that stupid. @LINK,twitter_features,1.49E+18,1.47907E+18,1,0,1,1,1,,,
59,"7/8 At the same time, peaceful protesters scattered and there was no one left on the square except the military. #TOKAYEV publicly voiced an order to shoot to kill without warning on 7 January 2022. However, the shootings began before that.",alon_for_train,1.49391E+18,1.33004E+18,0,0,,0,1,,,
60,"@USER @USER Again, there are more white men in the country. White population: 70% of the population make up 52% perpetrators (underrepresented) Black: 13% of the population make up 27% of perpetrators (overrepresented) Do you not understand basic math? @LINK",active_learning,1.49311E+18,1.28594E+18,0,0,0.666666667,0,0.666666667,,,
61,@USER @USER @USER Our Constitution definitely needs major updating. School when it was written was a luxury. It should still be treated that way. There must be educational requirements for anyone that holds office.,alon_for_train,1.49E+18,175122846,0,0,,0,1,,,
62,@USER @USER @USER @USER @USER Fascinating. Check the White House documentary. What you are saying is not legit.,random,1.49E+18,1.33653E+18,0,0,1,0,1,,,
63,"NOT to protect the citizens, but a Show of Force to prove this new ASSWIPE coming into office has Power ... Think I'm Kidding... Listen to those in office or in various positions State these issues and More... I had much to say, sorry to string this out so.",high_pmi_accounts,1.35138E+18,92383756,1,0,1,1,1,,,
64,"@USER @USER @USER @USER This is the reality of the situation. Don't pussy foot around it because its happening daily, in Every facet of our lives. If you are not willing to fight the way we NEED our Candidates to fight, let sombody else do it. This is not your Grandfathers Democrat party.",active_learning,1.4933E+18,1.48684E+18,0,1,0.666666667,1,0.666666667,,,
65,"My #FightingFifth spotlight for #BlackHistoryMonth today is Dorothy Lee Bolden. Founder of the @USER Union, Dorothy Bolden helped Atlanta Black care workers harness their political power and made clear across the country that care workers are essential workers. (1/3) @LINK",random,1.49E+18,1.34546E+18,0,0,1,0,1,,,
66,"Putin has to act now. So we see him surrounding Ukraine with almost all of the standing army of Russia for invasion. I am anti-war, but I am also anti-Fascist, and Putin is a fascist. Putin won't stop at Ukraine, and he will try to take back all of the former USSR...3/",twitter_features,1.50E+18,1.44111E+18,0,0,0.666666667,0,0.666666667,,,
67,@USER This NASTY PIG gave a GOLDEN SHOWER to GOVERNMENT DOCUMENTS!!! Let's be very clear on the CRIMINALITY OF HIS ACTIONS!!! @LINK,perspective_features,1.4948E+18,1.30603E+18,1,0,1,1,1,,,
68,@USER China must be looking at the US as the biggest fools ever. They give us Covid-19 and now are selling us masks and test kits. We are becoming the laughing stock of the world sad to say. I can't believe how far our country is falling. Thanks to the Socialist Democrats.,twitter_features,1.48606E+18,1.45131E+18,0,0,0.666666667,0,0.666666667,,,
69,"@USER @USER Absolutely you guys care,maybe care more when you are battling,that's aways been my impression from @USER problem is the Trump Republicans cares just as much about tearing democracy down as much as you do about saving it. I hope homeland security are on their toes",active_learning,1.48834E+18,1.443E+18,0,1,0.666666667,1,0.666666667,,,
70,@USER @USER @USER Have you not been watching TV around the world that have segments on what Joe said today. Google Australia who the left hold up as an example of civility.,active_learning,1.45553E+18,20602733,0,0,0.666666667,0,0.666666667,,,
71,"Oh @USER so, republicans don't want democrats to inside trading. Let's do them all ! Yippie !! Sen. Elizabeth Warren now wants to ban all state lawmakers and elected officials from trading corporate stocks @USER",active_learning,1.49E+18,468589378,0,0,0.666666667,0,0.666666667,,,
72,"Rick Scott is a piece of junk that took the 5th some 75 times during a Medicare fraud trial . He has no credibility, morals, or ethics. @LINK",perspective_features,1.49368E+18,1.24471E+18,1,0,1,1,1,,,
73,"@USER @USER Because is not helping anyone, if you take vaccine, you are more in danger than those not take it.",random,1.47124E+18,1285031876,0,0,1,0,1,,,
74,#AndrewCuomo andrew Cuomo step down is governor and new york and Kathy Hochul is being come the first female governor in new york,high_pmi_accounts,1.42644E+18,1.3263E+18,0,0,1,0,1,,,
75,"@USER @USER @USER @USER @USER @USER Lol ""Republicans must be destroyed in 2022 and 2024"" Sounds an awful lot like you want a one party state. Are you suggesting we resort to a one party system? Shades of the Nazis'. I see",perspective_features,1.48651E+18,1.48105E+18,1,0,0.666666667,1,0.666666667,,,
76,@USER Thanks to Biden's policies we are now reliant on Russia and the world for energy. We were energy independent under President Trump. Socialist leftist Democrats are weakening our country.,active_learning,1.49064E+18,1.45131E+18,0,1,0.666666667,1,0.666666667,,,
77,"Read The Vile Hate Mail Sent To Triple Amputee Veteran Behind #GoFundTheWall, Encouraged By Liberal Media And Celebrities @LINK",active_learning,1.07723E+18,576028686,0,0,0.666666667,0,0.666666667,,,
78,"@USER @USER It is a beginning to start working together and stop this idiot from becoming the joke of the world more individuals should avoid the former leader who made a mockery of this nation and the world, we need leaders that love this country not demean it.",perspective_features,1.48E+18,1.48249E+18,1,0,0.666666667,1,0.666666667,,,
79,"@USER Right because we value your opinion The person who says she cares and then defunded and removed police from those that needed them most but all the while claiming their racist or this or that all the while MURDERS not ""GUN violence "" but PEOPLE violence is rising out of control",active_learning,1.48977E+18,1.46468E+18,0,0,0.666666667,0,0.666666667,,,
80,@USER This is one of the most important threads I've read in weeks. Keep it going. Some of us in Texas are not witnessing such drastic outcomes. I needed to read this.,high_pmi_accounts,1.48475E+18,295693554,0,0,1,0,1,,,
81,I remember that very well. I also remember when Joe Biden said his kids were not going to be bused with black kids. He has been a racist all his life. And I want to know who in the White House is going to clean up that kitty litter box ?? @LINK,perspective_features,1.4871E+18,2563052352,1,0,0.666666667,1,1,,,
82,"@USER Oh my stars! Who exactly gets to define ""misinformation""? Is it the White House? Pleazzzz! What about the FACT that these vaccines have seriously injured thousands, disabled others and caused the DEATHS of over 15,000 here in the U.S.? BOTH SIDES need told!",twitter_features,1.48929E+18,1.48758E+18,0,0,0.75,0,0.75,,,
83,"E VERY #Canadian I have talked to in the last 6 months has moved, been working on moving, or is talking about moving & the possibility of getting out of #canada. In the last week the rhetoric is hitting fever pitch & it's all over the internet & search pings up like crazy.",alon_for_train,1.48126E+18,1.46058E+18,0,0,,0,1,,,
84,@USER It's a damn shame your political party has poliazed this virus from the very beginning to cover up the fact that Donald trump' originally completely ignored it as a democratic Hoax. 900.000 American citizens are now Dead. I hope the world Court puts every republican in prison. @LINK,twitter_features,1.49E+18,1.47907E+18,0,1,0.666666667,1,0.666666667,,,
85,@USER People in hell want ice water. Clean up your country. We need a favor though. Can you take the @USER ?,twitter_features,1.50E+18,1.48244E+18,0,0,1,0,1,,,
86,McCarthy calls Pelosi 'irresponsible' in fiery press conference @LINK via @USER ARE SICK & TIRED OF PELOSI & HER FELLOW LIBERAL/SOCIALISTS' HATE-MONGERING !!,perspective_features,1.13166E+18,416658756,0,0,0.666666667,0,0.666666667,,,
87,@USER @USER This wouldn't be so moronic if the vaccines stopped you catching and spreading Covid-19.,twitter_features,1.4904E+18,1.48629E+18,0,0,1,0,1,,,
88,IMPEACH Biden HARRIS and Pelosi. Why can't we just fire them! This is Portsmouth of we survive three next few years. We must appoint someone else's. It can't be Trump. He has too new in the government and next in line. We clean houses until we get a winner. That's not Bernie!,twitter_features,1.46838E+18,385261880,1,0,0.8,1,0.8,1,0,
89,"@USER This is not a ""far right"" occupation! It's simply people who do not want to be force vaccinated. Many people of color absolutely do NOT want to be force-vaxxed! @LINK",active_learning,1.49525E+18,7.33854E+17,1,0,0.666666667,1,0.666666667,,,
90,"@USER I hope our allies don't leave us as after today the Republicans have proven that they have no interest in liberty, freedom, justice, and/or STAND FOR DEMOCRACY!!!!!! Today, the US proved by the REPUBLICANS that DEMOCRACY IS DEAD!!!!",active_learning,1.48E+18,1.46876E+18,0,1,0.75,1,1,,,
91,@USER is the greatest President since FDR. The press & everyone else will have to learn that the hard way.,twitter_features,1.48223E+18,1.48222E+18,0,0,1,0,1,,,
92,"@USER @USER Didn't the cops stood down last summer, during the black loots miscreants riots in 2020? typical government sheeps be calling everyone white suprimacist if they disagree with their tyrant views,what about the black supremacist ? BLM, are they not bullies as well ? agenda is lame.",alon_for_train,1.49264E+18,1.48619E+18,1,1,,1,1,,,
93,Live look at Ron Klein scrambling for a distraction from the record-high inflation he helped his idiot boss create. @LINK,perspective_features,1.49178E+18,7.46374E+17,1,0,1,1,1,,,
94,I see the news report with people walking in the background with no mask on. MY GOD it's DISGUSTING how pathetic these people are to only think of themselves. To not wear mask or get vaccinated! DISGUSTING HUMAN BEINGS! I'm mad! @USER @USER @USER @USER @USER,alon_for_train,1.47E+18,1.31985E+18,1,0,,1,1,,,
95,@USER Los Angeles is a Democrat State with all the homelessness and drug addiction to go along with it so am sure now all Americans will have to pay to fix all these messes Democrat created in these States.,random,1.49328E+18,1.45087E+18,0,1,1,1,1,,,
96,"Building a mechanism to ensure working people can keep food on the table, save for a rainy day, and keep their bills paid will make us all feel more secure. @LINK",random,1.49E+18,26583978,0,0,1,0,1,,,
97,"Can't believe we even need to address this, but after reading some apologist propaganda... I am against #pedos, and want them dead. What a world..",perspective_features,1.48946E+18,1.48734E+18,0,1,1,1,1,,,
98,@USER @USER Shut them all down. Useless at best and destructive at its worst.,perspective_features,1.34327E+18,34297887,0,0,1,0,1,,,
99,"@USER Why do you choose to emphasize the control of future inflation rates (exceptionally difficult to predict) rather than public health improvements from increased access to wages, healthcare, & education? The former is the concern of financiers, the latter most of your constituents.",random,1.46E+18,1.33501E+18,0,0,1,0,1,,,
100,"To The Biden Admin: To Eradicate Iran's Terrorism, Confront the Ruling Mullahs @LINK",alon_for_train,1.495E+18,308927541,0,0,,0,1,,,
101,Must read this thread to understand NOT being friends with Russia @LINK,high_pmi_accounts,1.49E+18,923741714,0,0,1,0,1,,,
102,@USER @USER Well when you demand communism you best be prepared for the consequences,active_learning,1.4958E+18,1.44844E+18,0,1,0.666666667,1,0.666666667,,,
103,@USER @USER Look at Europe when the left let the radical Islam grew inside their community. Did you see what happened in France ? You think their dangerous ideas are far away right? Obama unleash the radical Iranian Mulla regime and helped them to grow in the Middle East and the world .,active_learning,1.32529E+18,564213639,1,0,0.666666667,1,0.666666667,,,
104,"@USER Jena, it is the ability to vote against Lauren Goebbels Boebert in the next election cycle.",twitter_features,1.4951E+18,1.48344E+18,0,0,0.666666667,0,0.666666667,,,
105,@USER There is growing concern that the COVID vaccines may be causing what some are now calling Vaccine Acquired Immune Deficiency Syndrome (VAIDS). Here's an article from before the vaccines were available that speculated this might happen. @LINK,high_pmi_accounts,1.49182E+18,1.36792E+18,0,0,1,0,1,,,
106,@USER Why don't you get a vaccine for BLM and Antifa to keep them from rioting and looting all over the country? Get a vaccine for all to protect people in cities across the country from gun violence where don't you?,active_learning,1.47871E+18,1.40225E+18,0,0,1,0,1,,,
107,"@USER We had no clue. Until my daughter, at 2 mos old had a neuro reaction to the DTAP. It was terrifying. That event led to much research on my part. So scary & upsetting what they are willing to do.",random,1.49176E+18,1.47641E+18,0,0,1,0,1,,,
108,@USER Dont lie dumbwit America was energy independent under Trump he never cut any pipeline. He reopened a pipeline Obama closed You have really Mastered the art of using NAZI propaganda https://t.co/rXMnMRRPQd,alon_for_train,1.49226E+18,8.94165E+17,1,1,,1,1,,,
109,"@USER @USER The founders were very intelligent, BUT did not realize we would need to limit the ""allowable"" time in Congress to two terms!!!",high_pmi_accounts,1.44357E+18,921942661,0,0,1,0,1,,,
110,RT @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER marching into full fascism by the day WHY DO YOU REFUSE TO TELL THE @LINK @LINK,active_learning,1.49396E+18,1.48058E+18,0,0,0.666666667,0,0.666666667,,,
111,@USER And the ones who benefits most from inflation? Entities with massive debt. Who is the biggest debtor? The U.S. Government.,random,1.46939E+18,37521458,0,0,0.666666667,0,0.666666667,,,
112,"@USER That's going to piss democrats off, since they already got their kickbacks from big business. So prices better start dropping, or American people will take over.",active_learning,1.49E+18,1.48419E+18,0,1,1,1,1,,,
113,@USER @USER You & the rest of the Dirty democrats have destroyed NY Financially & morally with your disgusting mandates & bail reform & ridiculous high taxes! #UNMASKOURCHILDREN #Republicans #BidenIsAFailure #LetsGoBrandon,perspective_features,1.47656E+18,1.3222E+18,1,0,0.666666667,1,1,,,
114,@USER @USER thank you for making my point! or are you limiting killings to only gun killings? haha,perspective_features,1.48998E+18,214507318,0,0,1,0,1,,,
115,I am honored to receive an endorsement from the Restore Liberty organization! We must continue fighting for liberty and protect our children from the radical left social education policies. Parents should be able to decide with their children are learning in school! #alpolitics @LINK,active_learning,1.48979E+18,1.33653E+18,1,0,0.666666667,1,1,,,
116,"@USER In my opinion, at this point in time in America thinking that we are going to get our country back from the fraudulent criminal Democrats system, trying to fight against a criminal illegitimate democratic party government is completely delusional. What's needed is Hands-On fight.",active_learning,1.49578E+18,1.46859E+18,0,1,0.666666667,1,1,,,
117,"@USER @USER @USER @USER @USER The US has a greater far right militia problem than Ukraine, to be fair",active_learning,1.49509E+18,221269569,0,0,0.666666667,0,0.666666667,,,
118,@USER @USER Here's a peaceful brotha protesting while blacks burned down cities. Lol. You have no argument. https://t.co/JmU4VsIjlr,alon_for_train,1.49302E+18,1.48696E+18,0,1,,1,1,,,
119,@USER This all u people care about is student loan forgiveness all I hear from Democratic party this will not give a win if it gets done American families parents and kids need is emergency stimulus CTC no payments for 2 months already u should be working on CTC stop lying,active_learning,1.49E+18,1.34514E+18,0,0,0.666666667,0,0.666666667,,,
120,"Biden Opens Child-Only Camp for Illegals, Proves 'Kids in Cages' Was Just a Campaign Lie via @USER @LINK",active_learning,1.36461E+18,7.09426E+17,0,1,0.666666667,1,1,,,
121,FYI - The founders of our country believed that elections should be governed at the state level.,random,1.47872E+18,1.4711E+18,0,0,1,0,1,,,
122,"Biden and Harris will reverse everything President Trump has done including his tax cuts. Which means higher taxes!! Democrats LIE, LIE & LIE!! @USER",active_learning,1.3205E+18,9.23046E+17,0,1,1,1,1,,,
123,"""The Democrats Are in Search of Their Next Scam"" - President Trump Responds to Latest Fake News on National Archives @LINK via @USER",active_learning,1.49511E+18,337333720,0,0,0.666666667,0,0.666666667,,,
124,"@USER @USER We might not agree but I think the most racist party is the democrats (D) The media helps cover up or less the effect of things that Joe Biden says. While both D & R had slaves back in the day, the D fought to keep slavery while the R were trying to abolish it.",active_learning,1.48E+18,1.4832E+18,0,0,0.666666667,0,0.666666667,,,
125,@USER @USER @USER Why do you want to talk to young children about their sexuality so badly?,twitter_features,1.49155E+18,1.4864E+18,0,0,0.666666667,0,0.666666667,,,
126,@USER Where were you when the right attacked the Capital to overturn a legitimate election? Sit down Insurrectionists,active_learning,1.49E+18,1.40913E+18,0,1,0.666666667,1,0.666666667,,,
127,"Yet just yesterday 3,189 Americans died from COVID in one day. Their arguments are weak and wrong! @LINK",active_learning,1.49E+18,2715812547,0,0,0.666666667,0,0.666666667,,,
128,"#Analytics_06 #Energy_06 #GOVT_06 #Experts_06 In reality, they would transform Kansas, one of the top producers of wind energy for two decades, into one of the most restrictive states in the nation, pro-wind #experts say. @LINK",random,1.49293E+18,1.16347E+18,0,0,0.666666667,0,0.666666667,,,
